,Kabul,Kapisa,Parwan,Maidan Wardak,Logar,Nangarhar,Laghman,Panjsher,Baghlan,Bamyan,Ghazni,Paktika,Paktya,Khost,Kunar,Nuristan,Badakhshan,Takhar,Kunduz,Samangan,Balkh,Sar-e-Pul,Ghor,Daykundi,Uruzgan,Zabul,Kandahar,Jawzjan,Faryab,Hilmand,Badghis,Hirat,Farah,Nimroz
Balkh,0.8197909782065428,1.2885152452739628,0.9560957690027415,0.6393990420903286,0.8927620267630114,0.8132252340538308,1.170418745399056,1.5958699097499633,1.2449098728067025,1.0403986977621154,1.0775997520917917,1.3019917123462417,0.9394833150092928,1.3283344535186938,0.6188818950795155,0.722253881440839,1.0341240384739234,1.3590072000076279,1.1150861648968047,0.7874401273241014,0.0,1.095253244259502,0.8226467697885969,1.3036746958378806,1.1185070466093465,0.5565194691865334,0.9194531680638843,0.9171104262548772,0.5277895764044506,1.077620018351984,1.350530647196818,0.6985291881957145,1.025280106472419,1.2310653630149864
Sar-e-Pul,0.9743177852326835,0.9123047685133175,1.0032030482170466,0.9824975362406018,1.1358709327393903,0.9637101888797875,1.0933374681701502,1.095486631492147,1.4003416673800446,1.001308478909502,0.6538515907722912,0.9070418803179101,1.0699266173134188,0.8434268025127002,1.0569931369365646,1.2128855788745063,1.143704124321468,1.572406048644654,1.37228717431615,0.7119381525301737,1.095253244259502,0.0,1.1733328571341264,1.199961135570149,0.8717893436026208,1.106567706488519,1.081058189232039,1.293931743962413,0.9459802280528639,1.1763527445935396,1.1259140712557967,1.1343889008439003,1.3723324466285276,1.021187180901689
Ghor,1.2694722510120053,1.470374146466899,1.3512885522980513,1.0279762743966443,1.2596902087834954,0.8419155836798943,0.8699831825525508,1.5735504095853325,1.3583343191677213,0.8680014269234183,1.1995120736658607,1.3745481794202234,0.7958094997737382,1.5143301253869899,0.9465586331953063,0.5679283633428331,0.9832006153080436,1.2897074545621905,1.1973802877018982,1.1366566584735336,0.8226467697885969,1.1733328571341264,0.0,1.0236842365846661,0.9620367747684222,0.7953495514708235,0.9677479793848902,1.3169285547004932,0.9068854864693238,1.0880337890605152,0.8752978214389826,0.6603583829332058,0.7540472999414233,1.062556174284179
Daykundi,1.5056530664298158,1.4753752855470763,1.5839827197313747,1.3655663133552745,1.5006327108251263,1.0545489759057063,0.7619310668060012,1.4279119393338102,1.3342316196331037,0.7703986182334385,1.1008494942062765,1.3280923210363456,1.1479443264886688,1.3486798585365225,1.1851806574553132,1.0774769220371954,0.8543893092033719,1.1768122620820771,1.3205247013299397,1.300570024031454,1.3036746958378806,1.199961135570149,1.0236842365846661,0.0,1.1245225830260874,1.2327493775045077,0.9144581927454147,1.530011994293752,1.2191083233521662,1.0518211908325206,0.631617487090841,1.1733250425424333,1.1173755562166232,1.1190640859311185
Uruzgan,1.17869820648414,1.4846995862195158,1.4181314872276618,1.0729783859770783,1.3722720999778781,0.6829299765206567,1.0951320993090505,1.5276890070287055,1.4381032166909091,0.9990999751552406,1.000356346910461,1.2714287738887575,1.045965641362072,1.3443055282400524,1.1603575632548797,0.9453952426073527,0.9576762963362393,1.577235456419082,1.5580909395502949,0.7408318068890112,1.1185070466093465,0.8717893436026208,0.9620367747684222,1.1245225830260874,0.0,0.8989784386584921,0.9127734535029738,1.3608678888448649,0.9675937344185656,1.142943772542634,0.8690852433071006,0.8585895627563549,1.087452804354963,0.9477411024762161
Zabul,0.8473341904966184,1.4118734173888359,1.1350009478711625,0.8602564107344727,0.8456847126582573,0.49518411846889004,0.9508855259975615,1.6771581000027225,1.136830411455946,0.9369948342047356,1.081242948935121,1.2490951353427127,0.7335152605171602,1.452076635840583,0.82881442310753,0.5308377400549592,0.921971137833541,1.3202212989996018,1.108615682120492,0.7328328836761003,0.5565194691865334,1.106567706488519,0.7953495514708235,1.2327493775045077,0.8989784386584921,0.0,0.6388966230266137,0.8930221671994133,0.5258609954470875,0.8564883873135708,1.1529462856171866,0.4721666031873801,0.8578823816766661,1.1157105254619164
Kandahar,1.0601884590711377,1.4113666936845664,1.3162250049641544,1.0253555941395787,1.0196266790593753,0.46269099904279226,0.8110477932448085,1.5821880882489505,0.9315943666831511,0.8556083633244969,0.9860425151666096,1.1081544448644898,0.7404572284303842,1.3901658642243278,0.8716957682047515,0.6642746723729294,0.7585124816177111,1.198613498090648,1.1132094352995496,0.8057394424982565,0.9194531680638843,1.081058189232039,0.9677479793848902,0.9144581927454147,0.9127734535029738,0.6388966230266137,0.0,1.0351142917703309,0.8154246498636483,0.7720216017954608,0.8965278741945133,0.6386164530085856,0.8087729451121765,1.131821981910246
Jawzjan,0.9845040619138773,1.3411133085728844,0.8457808188262962,1.164495828520154,0.7002545675616179,1.0578308557969451,1.3667580111278417,1.5757227623902967,1.0757572306488075,1.3169358672977762,1.0461707445329742,1.1568463729345975,1.0697431661105778,1.4223698482660163,0.7720723227612722,1.1771225313517755,1.3272322241038634,1.3821539245473091,0.846843230212298,0.9815798265140399,0.9171104262548772,1.293931743962413,1.3169285547004932,1.530011994293752,1.3608678888448649,0.8930221671994133,1.0351142917703309,0.0,0.7965859496370232,1.0351577663919365,1.5614364109158287,0.9339977933578226,1.195748573599258,1.5132938937796994
Faryab,0.7854521909232305,1.3328245011877082,0.9156232134344495,0.8572616407243789,0.8504135643640155,0.762818541280163,1.1024903168189895,1.6352830000618852,1.3574850433525374,0.9956671373075092,0.9274418264793973,1.2792635034686914,0.9749383230059848,1.292114812985701,0.6820890493086043,0.8725746625473468,0.9811815200257672,1.4367600953638677,1.1567775024695814,0.6257556414357821,0.5277895764044506,0.9459802280528639,0.9068854864693238,1.2191083233521662,0.9675937344185656,0.5258609954470875,0.8154246498636483,0.7965859496370232,0.0,0.9827337600357465,1.2563200500788239,0.7247927026840689,1.1632330154112442,1.1273327587835407
Hilmand,1.3503902752286452,1.38354329131208,1.4356287273733934,1.2965755502154366,1.0816883896247318,0.7929465117904396,0.7124804170226557,1.5024879376800122,0.9774278049324385,0.5705854880754717,0.9031690333220153,1.0162984729342324,0.5803354806032077,1.320137916934228,0.9567366554781296,0.8629155540676713,1.1290309629078354,1.0940498862411392,1.0014193726848533,1.121896688743701,1.077620018351984,1.1763527445935396,1.0880337890605152,1.0518211908325206,1.142943772542634,0.8564883873135708,0.7720216017954608,1.0351577663919365,0.9827337600357465,0.0,0.9897283603172464,0.9630057356238683,0.8962351456637717,1.4932359737971035
Badghis,1.4991319185361418,1.4696538338720622,1.6627874547223653,1.3525372509583327,1.5304660001572807,0.9319168764677355,0.6144007108836634,1.4234604737731005,1.3256382422469482,0.7563585276254945,1.129238268832663,1.249074128738534,0.9317918208157187,1.3947663320392227,1.2047204370294264,0.8961614795230061,1.0134648061850524,1.1747924060870376,1.370579568768195,1.2312337242606946,1.350530647196818,1.1259140712557967,0.8752978214389826,0.631617487090841,0.8690852433071006,1.1529462856171866,0.8965278741945133,1.5614364109158287,1.2563200500788239,0.9897283603172464,0.0,1.0331897640351495,0.8768962377667288,1.0287524967673118
Hirat,1.0086932812280913,1.4514912338048287,1.181444972364098,0.968103363710455,1.0383429216426925,0.5451897852051028,0.9922134263856636,1.636969635849573,1.0594599575456782,1.0046425907278103,1.056903664827102,1.2152882403232264,0.6940024519236648,1.5609568576397592,0.8054901805384184,0.4998610415165158,0.8953499970421591,1.355767492778468,1.044672371094012,0.7982343585558676,0.6985291881957145,1.1343889008439003,0.6603583829332058,1.1733250425424333,0.8585895627563549,0.4721666031873801,0.6386164530085856,0.9339977933578226,0.7247927026840689,0.9630057356238683,1.0331897640351495,0.0,0.6135363337752536,1.1320382758838834
Farah,1.3833628302225347,1.5143456014079524,1.5123733169281084,1.1646998552397505,1.2582217768266744,0.7649655509516554,0.8797610500130885,1.5604523094528013,0.9342865414755025,0.9302069646618061,1.2234901795995563,1.2143025352651908,0.6033019146059883,1.600766970094919,0.9338070826236929,0.5144370839483248,1.1128716389872186,1.077791477723601,1.0220646807648595,1.207041435921809,1.025280106472419,1.3723324466285276,0.7540472999414233,1.1173755562166232,1.087452804354963,0.8578823816766661,0.8087729451121765,1.195748573599258,1.1632330154112442,0.8962351456637717,0.8768962377667288,0.6135363337752536,0.0,1.3234418143857107
Nimroz,0.9993253492760635,1.2332834000457291,1.231763609042347,1.025179918794294,1.2786775019410836,1.0991172454122737,1.0616974250695894,1.3394193714023377,1.5480299180152155,1.278413172075135,1.2756498674095433,1.343143272241547,1.3199622219617781,1.2607468389660537,1.2790396310090975,1.1528952723133379,1.1338664605986388,1.3940438304619271,1.4459560312021582,1.0619588533939939,1.2310653630149864,1.021187180901689,1.062556174284179,1.1190640859311185,0.9477411024762161,1.1157105254619164,1.131821981910246,1.5132938937796994,1.1273327587835407,1.4932359737971035,1.0287524967673118,1.1320382758838834,1.3234418143857107,0.0
